meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
one,"""one",一,1,1,1,1,5,One,"In Chinese characters, the number one is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of floor or ceiling, depending on its position: if it stands above another primitive, it means ceiling; if below, floor.","One down, 2041 to go. ;).",イチ、イツ,ひと-、ひと.つ,"一度 (いちど), 一座 (いちざ), 第一 (だいいち), 一 (ひと), 一つ (ひと.つ)"""
two,"""two",二,1,2,2,1,5,two,"Like the Roman numeral II, which reduplicates the numeral I, the kanji for two is a simple reduplication of the horizontal stroke that means one. The order of writing goes from above to below, with the first stroke slightly shorter.",Two lines.,ニ、ジ,ふた、ふた.つ、ふたた.び,"二 (ふた), 二つ (ふた.つ)"""
three,"""three",三,1,3,3,1,5,three,"And like the Roman numeral III, which triples the numeral I, the kanji for three simply triples the single horizontal stroke. In writing it, think of """"1 + 2 = 3"""" (一 + 二 = 三) in order to keep the middle stroke shorter.",One + two = three.,サン、ゾウ,み、み.つ、みっ.つ,"三 (み), 三つ (み.つ), 三つ (みっ.つ)"""
four,"""four",四,1,4,5,1,5,"four, pent in, human legs","This character is composed of two primitive elements, mouth and human legs,both of which we will meet in the coming lessons. Assuming that you already knew how to write this kanji, we will pass over the """"story"""" connected with it until later. Note how the second stroke is written left-to-right and then top-to-bottom. This is consistent with what we have already seen in the first three numbers and leads us to a general principle that will be helpful when we come to more complicated kanji later on: write north-to-south, west-to-east, northwest-to-southeast.",FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.,シ,よ、よ.つ、よっ.つ、よん,"四 (よ), 四つ (よ.つ), 四つ (よっ.つ), 四 (よん)"""
five,"""five",五,1,5,4,1,5,five,"As with four, we shall postpone learning the primitive elements that make up this character. Note how the general principle we just learned in the preceding frame applies to the writing of the character for five.",三 + two vertical lines = 5.,ゴ,いつ、いつ.つ,"五 (いつ), 五つ (いつ.つ)"""
six,"""six",六,1,6,4,1,5,"six, top hat, animal legs","The primitives here are top hat and animal legs. Once again, we glide over them until later.","Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.",ロク、リク,む、む.つ、むっ.つ、むい,"六 (む), 六つ (む.つ), 六つ (むっ.つ)"""
seven,"""seven",七,1,7,2,1,5,"seven, diced","Note that the first stroke """"cuts"""" through the second. This distinguishes seven from the character for spoon (Frame 476), in which the horizontal stroke stops short.* As a primitive, this form takes on the meaning of diced, i.e., """"cut"""" into little pieces, consistent both with the way the character is written and with its association with the kanji for cut to be learned in a later lesson (Frame 89).","This kanji is our good old seven, turned upside down.",シチ,なな、なな.つ、なの,"七 (なな), 七つ (なな.つ)"""
eight,"""eight",八,1,8,2,1,5,eight,"Just as the Arabic numeral """"8"""" is composed of a small circle followed by a larger one, so the kanji for eight is composed of a short line followed by a longer line, slanting towards it but not touching it. And just as the """"lazy 8"""" is the mathematical symbol for """"infinity,"""" so the expanse opened up below these two strokes is associated by the Japanese with the sense of an infinite expanse or something """"all-encompassing.""""","Hachi (eight) begins with the sound of the katakana """"ha"""", and it´s approximately the same character.",ハチ,や、や.つ、やっ.つ、よう,"八 (や), 八つ (や.つ), 八つ (やっ.つ)"""
nine,"""nine",九,1,9,2,1,5,"nine, baseball","If you take care to remember the stroke order of this kanji, you will not have trouble later keeping it distinct from the kanji for power (Frame 922).* As a primitive, we shall use this kanji to mean baseball team or simply baseball. The meaning, of course, is derived from the nine players who make up a team.",Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as一＋八＝九.,キュウ、ク,ここの、ここの.つ,"九百 (きゅうひゃく), 三拝九拝 (さんはいきゅうはい), 九 (ここの), 九つ (ここの.つ)"""
ten,"""ten",十,1,10,2,1,5,"ten, needle","Turn this character 45 degrees either way and you have the x used for the Roman numeral ten.* As a primitive, this character sometimes keeps its meaning of ten and sometimes signifies needle, this latter derived from the kanji for needle (Frame 292). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.","Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).",ジュウ、ジッ、ジュッ,とお、と,"十字架 (じゅうじか), 十文字 (じゅうもんじ), 十 (と), 十 (とお)"""
